namelist_title,namelist_author,namelist_id,an_assault_army,an_clone_army,an_defense_army,an_gene_warrior_army,an_industrial_army,an_machine_assault_1,an_machine_assault_2,an_machine_assault_3,an_machine_defense,an_occupation_army,an_postatomic_army,an_primitive_army,an_psionic_army,an_robotic_army,an_robotic_defense_army,an_robotic_occupation_army,an_slave_army,an_undead_army,an_xenomorph_army,cn_first_names_female,cn_first_names_male,cn_regnal_first_names_female,cn_regnal_first_names_male,cn_regnal_second_names,cn_second_names,fn_fleet_names,fn_random_names,pn_alpine_planets,pn_arctic_planets,pn_arid_planets,pn_continental_planets,pn_desert_planets,pn_gaia_planets,pn_generic_planets,pn_ocean_planets,pn_savannah_planets,pn_tropical_planets,pn_tundra_planets,sn_battle_cruiser,sn_battleship,sn_carrier,sn_colonizer,sn_colossus,sn_construction_cruiser,sn_constructor,sn_corvette,sn_cruiser,sn_destroyer,sn_dreadnought,sn_escort_carrier,sn_exploration_ship,sn_flagship,sn_frigate,sn_generic,sn_headquarters,sn_ion_cannon,sn_juggernaut,sn_light_carrier,sn_military_station_large,sn_military_station_medium,sn_military_station_small,sn_science,sn_science_cruiser,sn_sponsored_colonizer,sn_striker_cruiser,sn_superdreadnought,sn_titan,sn_transport,sn_xl_cannon
,,,,,,,,,,,,,,,,,,,,,,Leilani,Davion,,,,Ixion,,,,,,,,,,,,,,,,,,,,,Eclipse Emissary,Delta,Eclipse Emissary,,,,,Void Visitor,Eclipse Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lenora,Kaelan,,,,Dysnomia,,,,,,,,,,,,,,,,,,,,,Warp Wraith,Epsilon Sentinel,Warp Wraith,,,,,Interstellar Investigator,Eclipse Three,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lilith,Daxon,,,,Hydra,,,,,,,,,,,,,,,,,,,,,Rocket Raider,Zeta,Rocket Raider,,,,,Velocity Vagabond,Eclipse Four,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Liora,Javen,,,,Nix,,,,,,,,,,,,,,,,,,,,,Nova Nomad,Theta Explorer,Nova Nomad,,,,,Eclipse Explorer,Elysium,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Lyra,Riven,,,,Kerberos,,,,,,,,,,,,,,,,,,,,,Planetary Pathfinder,Iota,Planetary Pathfinder,,,,,Solar Sentinel,Falcon,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Maelle,Jalen,,,,Styx,,,,,,,,,,,,,,,,,,,,,Asteroid Ambusher,Kappa Sentinel,Asteroid Ambusher,,,,,Meteorite Mover,Fireball,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Magnolia,Eros,,,,Charon,,,,,,,,,,,,,,,,,,,,,Galaxy Guide,Lambda,Galaxy Guide,,,,,Comet Chaser,Firestorm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Malia,Orion,,,,Phobos,,,,,,,,,,,,,,,,,,,,,Supernova Seeker,Mu Explorer,Supernova Seeker,,,,,Meteorite Masher,Galileo One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marcella,Destin,,,,Deimos,,,,,,,,,,,,,,,,,,,,,Cosmic Clipper,Nu Sentinel,Cosmic Clipper,,,,,Rocket Runner,Galileo Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mariah,Azriel,,,,Ganymede,,,,,,,,,,,,,,,,,,,,,Star Strider,Xi,Star Strider,,,,,Warp Warden,Gamma,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marielle,Phoenix,,,,Callisto,,,,,,,,,,,,,,,,,,,,,Shadow Sleuth,Omicron Explorer,Shadow Sleuth,,,,,Cosmic,Gemini,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Marisol,Evander,,,,Io,,,,,,,,,,,,,,,,,,,,,Comet,Pi,Comet,,,,,Meteorite Miner,Helios,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Matisse,Kyron,,,,Europa,,,,,,,,,,,,,,,,,,,,,Solar Sentinel,Rho Sentinel,Solar Sentinel,,,,,Interstellar Interceptor,Hydra,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Mira,Sylas,,,,Lysithea,,,,,,,,,,,,,,,,,,,,,Moon Man,Sigma,Moon Man,,,,,Astral Adventurer,Infinity Six,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Moira,Drayton,,,,Ananke,,,,,,,,,,,,,,,,,,,,,Warp Wanderer,Tau Explorer,Warp Wanderer,,,,,Galaxy Guide,Intrepid,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nadia,Castiel,,,,Himalia,,,,,,,,,,,,,,,,,,,,,Stellar Streamer,Upsilon,Stellar Streamer,,,,,Nebula Navigator,Jupiter,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nalani,Braxton,,,,Elara,,,,,,,,,,,,,,,,,,,,,Nebula Navigator,Phi Sentinel,Nebula Navigator,,,,,Nebula Navigator,Kestrel,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nalia,Emery,,,,Metis,,,,,,,,,,,,,,,,,,,,,Velocity Vigilante,Chi,Velocity Vigilante,,,,,Shadow Sleuth,Lightning,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Narella,Zayden,,,,Sinope,,,,,,,,,,,,,,,,,,,,,Lunar Light,Psi Explorer,Lunar Light,,,,,Galaxy Guardian,Mercury One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Niamh,Zion,,,,Carme,,,,,,,,,,,,,,,,,,,,,Galaxy Guardian,Omega,Galaxy Guardian,,,,,Eclipse Emissary,Mercury Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nika,Tristen,,,,Pasiphae,,,,,,,,,,,,,,,,,,,,,Void Voyager,Galactic Ranger,Void Voyager,,,,,Nebula Nighthawk,Mercury Three,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Nyla,Vesper,,,,Thebe,,,,,,,,,,,,,,,,,,,,,Cosmic,Solar Avenger,Cosmic,,,,,Space Seeker,Meteorite,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Ophira,Merrick,,,,Adrastea,,,,,,,,,,,,,,,,,,,,,Meteorite Masher,Deep Space Guardian,Meteorite Masher,,,,,Astral Adventurer,Nebula One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Oriana,Kaelin,,,,Amalthea,,,,,,,,,,,,,,,,,,,,,Space Seeker,Cosmic Sentinel,Space Seeker,,,,,Cosmic Clipper,Nebula Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Paloma,Taran,,,,Themisto,,,,,,,,,,,,,,,,,,,,,Astral Adventurer,Meteorite Hunter,Astral Adventurer,,,,,Galaxy Glide,Odyssey One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Phoenix,Remi,,,,Almathea,,,,,,,,,,,,,,,,,,,,,Interstellar Investigator,Black Hole Sentinel,Interstellar Investigator,,,,,Star Strider,Odyssey Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rhea,Jagger,,,,Pasiphae,,,,,,,,,,,,,,,,,,,,,Eclipse Explorer,Warp Commander,Eclipse Explorer,,,,,Lunar Lancer,Omega,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rosalind,Theron,,,,Carpo,,,,,,,,,,,,,,,,,,,,,Warp Walker,Starship Captain,Warp Walker,,,,,Eclipse Enforcer,Onyx,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Rowan,Kaelum,,,,Kalyke,,,,,,,,,,,,,,,,,,,,,Rocket Racer,Solar Protector,Rocket Racer,,,,,Asteroid Annihilator,Orion One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Seraphina,Zaiden,,,,Eurydome,,,,,,,,,,,,,,,,,,,,,Nova Nomad,Nebula,Nova Nomad,,,,,Warp Walker,Orion Two,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Solara,Jaxon,,,,Anthe,,,,,,,,,,,,,,,,,,,,,Planetary Pioneer,Cosmic Guardian,Planetary Pioneer,,,,,Stellar Swift,Phoenix One,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sylvi,Phoenix,,,,Helene,,,,,,,,,,,,,,,,,,,,,Asteroid Annihilator,Interstellar Crusader,Asteroid Annihilator,,,,,Astral Adventurer,Phoenix Two,,,,,,,,,,,,,,,
